id,href,title,salary
3690960,/ru/jobs/3690960/,Assistant Sales manager (онлайн-образование),10000–18000
id,href,title,salary
4601550,/ru/jobs/4601550/,"Менеджер по работе с клиентами, логист",35000–50000
id,href,title,salary
4601533,/ru/jobs/4601533/,Recruiter,no data available
id,href,title,salary
4255328,/ru/jobs/4255328/,Продавець-консультант,10000–25000
id,href,title,salary
4555979,/ru/jobs/4555979/,Customer support representative,18620–21280
id,href,title,salary
3979741,/ru/jobs/3979741/,Менеджер по работе с клиентами,14500
id,href,title,salary
1143207,/ru/jobs/1143207/,Продавец-консультант стройматериалов,19000–20000
id,href,title,salary
4567053,/ru/jobs/4567053/,Експерт з продажу,18000–28000
id,href,title,salary
4582925,/ru/jobs/4582925/,Менеджер по продажам,20000–50000
id,href,title,salary
4601522,/ru/jobs/4601522/,"Аккаунт-менеджер, ассистент по продажам",17000–28000
id,href,title,salary
4601517,/ru/jobs/4601517/,"Таргетолог, ИТ-специалист",no data available
id,href,title,salary
3973123,/ru/jobs/3973123/,"Продавець-консультант (ТРЦ ""Гулівер"")",12000–15000
id,href,title,salary
2888460,/ru/jobs/2888460/,"Менеджер по продажам недвижимости (ст. м. Университет, Botanic Towers)",30000–50000
id,href,title,salary
4543626,/ru/jobs/4543626/,Back end разработчик,50000–80000
id,href,title,salary
4567053,/ru/jobs/4567053/,Експерт з продажу,18000–28000
id,href,title,salary
4582925,/ru/jobs/4582925/,Менеджер по продажам,20000–50000
id,href,title,salary
4601522,/ru/jobs/4601522/,"Аккаунт-менеджер, ассистент по продажам",17000–28000
id,href,title,salary
4601517,/ru/jobs/4601517/,"Таргетолог, ИТ-специалист",no data available
id,href,title,salary
3973123,/ru/jobs/3973123/,"Продавець-консультант (ТРЦ ""Гулівер"")",12000–15000
id,href,title,salary
2888460,/ru/jobs/2888460/,"Менеджер по продажам недвижимости (ст. м. Университет, Botanic Towers)",30000–50000
id,href,title,salary
4543626,/ru/jobs/4543626/,Back end разработчик,50000–80000
id,href,title,salary
4586537,/ru/jobs/4586537/,Менеджер по продажам,20000–40000
id,href,title,salary
4580718,/ru/jobs/4580718/,Рекрутер,12500–18000
id,href,title,salary
4376892,/ru/jobs/4376892/,"Head, SMM-manager",20000–40000
id,href,title,salary
4547271,/ru/jobs/4547271/,Менеджер по работе с клиентами,10000–15000
id,href,title,salary
4601413,/ru/jobs/4601413/,Менеджер по продажам (теплые лиды),18000–43000
id,href,title,salary
1918517,/ru/jobs/1918517/,"Программист PHP, Full Stack Developer",20000
id,href,title,salary
4036521,/ru/jobs/4036521/,Продавець-консультант мобільних телефонів і аксесуарів,35000
id,href,title,salary
3577372,/ru/jobs/3577372/,Помічник машиніста екструдера,12000–15000
id,href,title,salary
4539604,/ru/jobs/4539604/,Senior PR-manager,30000–40000
id,href,title,salary
3856401,/ru/jobs/3856401/,Водитель такси,15000–40000
id,href,title,salary
4601285,/ru/jobs/4601285/,Менеджер по продажам недвижимости,55000
id,href,title,salary
3589886,/ru/jobs/3589886/,Адміністратор ресторану,15000–25000
id,href,title,salary
4578952,/ru/jobs/4578952/,Продавець-консультант,13000–18000
id,href,title,salary
3639920,/ru/jobs/3639920/,"Ведущая онлайн-эфиров, блогер, стример, модель",40000
id,href,title,salary
2634229,/ru/jobs/2634229/,"Водій-експедитор, вантажник",14000–17000
id,href,title,salary
4257016,/ru/jobs/4257016/,Администратор отдела продаж,10000
id,href,title,salary
3362004,/ru/jobs/3362004/,Асистент ветеринарного лікаря,7000–15000
id,href,title,salary
3792190,/ru/jobs/3792190/,"Оператор чата в брачное агентство, переводчик",16000–35000
id,href,title,salary
4557903,/ru/jobs/4557903/,"Менеджер чата, переводчик в брачное агентство",17000–27000
id,href,title,salary
4601203,/ru/jobs/4601203/,Супервайзер,15000
id,href,title,salary
3962860,/ru/jobs/3962860/,"Курьер на авто, мото",15000–24000
id,href,title,salary
4555693,/ru/jobs/4555693/,Продавець-консультант,16000
id,href,title,salary
4379744,/ru/jobs/4379744/,Менеджер по продажам (горячие заявки),25000–70000
id,href,title,salary
4601182,/ru/jobs/4601182/,Media buyer (Facebook),20000–80000
id,href,title,salary
3132761,/ru/jobs/3132761/,Різноробочий,25000
id,href,title,salary
3401705,/ru/jobs/3401705/,Менеджер call-центра,15000–35000
id,href,title,salary
4292213,/ru/jobs/4292213/,Комплектувальник,15000
id,href,title,salary
3824026,/ru/jobs/3824026/,Комплектувальник,16000–24000
id,href,title,salary
2920349,/ru/jobs/2920349/,"Менеджер по продажам в мебельный салон (ТЦ ""Шестой Элемент"")",15000–40000
id,href,title,salary
4549070,/ru/jobs/4549070/,Администратор продаж,20000–28000
id,href,title,salary
4601100,/ru/jobs/4601100/,Менеджер по продажам товаров для красоты и здоровья,15000–25000
id,href,title,salary
4601097,/ru/jobs/4601097/,Менеджер продаж образовательных программ,16200–32400
id,href,title,salary
4225646,/ru/jobs/4225646/,Менеджер по продажам,17000–35000
id,href,title,salary
4009125,/ru/jobs/4009125/,Менеджер по работе с клиентами,16500
id,href,title,salary
4033219,/ru/jobs/4033219/,"Learning and Development Manager, Coach",18000
id,href,title,salary
4284722,/ru/jobs/4284722/,"Офис-менеджер, ивент-специалист",no data available
id,href,title,salary
4469360,/ru/jobs/4469360/,Менеджер по продажам,10000–30000
id,href,title,salary
3847656,/ru/jobs/3847656/,Водитель такси (Uber Comfort),25000–40000
id,href,title,salary
4511790,/ru/jobs/4511790/,Помощник топ-менеджера,9500
id,href,title,salary
3777628,/ru/jobs/3777628/,Контент-менеджер,15600
id,href,title,salary
4455848,/ru/jobs/4455848/,"Менеджер по продажам (английский, рынок США)",30000–72000
id,href,title,salary
4280687,/ru/jobs/4280687/,Консультант-продавец в сеть магазинов,17000
id,href,title,salary
